Date,Non-store retailing,Textiles clothing and footwear stores,All retailing,Household goods stores,Predominantly food stores,Other stores,Data Type
10-Jan,53.3,5.9,6.6,6.5,2.5,4.8,in %
10-Feb,52.8,5.1,6.7,6.5,2.9,5.3,in %
10-Mar,53,5.5,6.7,4.7,2.7,5.5,in %
10-Apr,51.6,5.8,6.9,4.9,2.9,6.3,in %
10-May,54.5,5.8,7,5,2.7,6.6,in %
10-Jun,54.9,5.7,6.9,5,2.6,6.6,in %
10-Jul,54.3,6.4,7.3,5.3,2.6,7.3,in %
10-Aug,55.3,6.6,7.6,5.6,2.8,8.2,in %
10-Sep,56.2,6.5,7.6,5.8,2.7,7.9,in %
10-Oct,58.2,6.7,7.9,6.4,2.8,8.1,in %
10-Nov,59.8,6.7,8,5.9,2.7,8.9,in %
10-Dec,57.9,6.8,8.2,5.8,2.7,9.6,in %
11-Jan,59.9,6.9,8.2,6.1,2.9,8.1,in %
11-Feb,58.9,7.1,7.9,5.4,2.7,7.7,in %
11-Mar,57.8,7.3,7.9,5.2,2.6,8.4,in %
11-Apr,57.6,7.2,7.8,5,2.8,7.7,in %
11-May,58.7,7.6,8,4.6,2.6,8,in %
11-Jun,59.6,7.6,8.3,5,2.8,7.9,in %
11-Jul,63.5,7.9,8.4,5.2,2.7,7.7,in %
11-Aug,63.5,8,8.4,5,2.7,7.5,in %
11-Sep,65,8.6,8.6,4.9,2.7,7.5,in %
11-Oct,64.1,8.4,8.5,4.6,2.8,7.4,in %
11-Nov,69.3,8.2,9,4.7,2.9,7.2,in %
11-Dec,67.4,8.3,8.8,5.1,2.8,7,in %
12-Jan,66.8,8.4,8.9,6.2,2.8,7.2,in %
12-Feb,67.8,8.7,9.2,6.5,3.2,7.4,in %
12-Mar,66.7,8.8,9,6.1,3,6.7,in %
12-Apr,67.1,8.8,9.3,6.3,3.2,7.6,in %
12-May,65.9,9,9.6,6.3,3.2,9.2,in %
12-Jun,67.1,8.7,9.1,5.7,2.9,7.6,in %
12-Jul,68.4,9.8,9.7,5.7,3.2,7.8,in %
12-Aug,62.2,9.4,8.9,5.5,3.1,7.6,in %
12-Sep,66,9.2,9.3,5.9,3.1,7.4,in %
12-Oct,64.5,9.8,9.3,5.7,3.1,6.6,in %
12-Nov,65.6,8.4,9.4,5.8,3.2,7.3,in %
12-Dec,70.8,10.4,10.1,5.2,3.2,7.4,in %
13-Jan,68.5,9.2,10,5.3,3.4,7.2,in %
13-Feb,68.2,9.6,10,5.3,3.3,7.6,in %
13-Mar,70.2,10.8,10.6,6.5,3.4,8.1,in %
13-Apr,68.9,10.5,10.4,5.9,3.3,8.4,in %
13-May,67,10,10.3,5.6,3.3,8.7,in %
13-Jun,67.7,10.2,10.3,5.8,3.3,7.4,in %
13-Jul,66.9,10.2,10.3,5.3,3.4,7.9,in %
13-Aug,66,9.8,10.6,6,3.4,8.3,in %
13-Sep,68.2,10.7,10.6,5.7,3.4,7.6,in %
13-Oct,68.7,10.1,10.6,5.5,3.5,8,in %
13-Nov,67.3,10.2,10.6,5.7,3.5,7.9,in %
13-Dec,67.5,10.4,10.5,5.4,3.5,7.4,in %
14-Jan,69.9,10.7,10.5,5.9,3.5,7.7,in %
14-Feb,68.7,11.2,11,4.3,3.7,7.8,in %
14-Mar,70.5,10.8,11,5.5,3.7,7.5,in %
14-Apr,70.6,10.9,11.3,5.8,3.7,7.6,in %
14-May,69.1,11.8,11.5,6,3.7,7.2,in %
14-Jun,69.9,11.7,11.3,5.9,3.8,7.5,in %
14-Jul,70.2,11.8,11.4,6.2,3.8,7.4,in %
14-Aug,71.4,12.5,11.6,6.4,3.8,7,in %
14-Sep,69.3,12.4,11.4,6.1,3.9,7,in %
14-Oct,72.2,11.5,11.6,6.7,3.9,7.3,in %
14-Nov,73.6,11.6,11.7,5.9,3.8,7.5,in %
14-Dec,73.3,11.6,11.8,6.4,3.6,7.6,in %
15-Jan,73.8,11.9,12.1,6.7,4,7.9,in %
15-Feb,72.4,11.4,12,6.6,4,8,in %
15-Mar,72,11.5,12.1,6.6,4.1,7.9,in %
15-Apr,75.7,12,12.5,6.6,4,7.6,in %
15-May,72.4,11.6,12.2,6.8,4.1,7.7,in %
15-Jun,72.9,12.9,12.6,6.9,4.2,6.9,in %
15-Jul,71.9,12.2,12.6,6.9,4.2,7,in %
15-Aug,70.1,13.5,12.5,7,4.4,7,in %
15-Sep,72.4,13,12.7,7.4,4.3,7.2,in %
15-Oct,73.5,13.1,12.9,7.6,4.2,7.3,in %
15-Nov,75.6,13.4,13.3,8.2,4.2,7.8,in %
15-Dec,74.6,13.3,13.4,8.7,4.6,7.2,in %
16-Jan,79.4,13.2,13.7,8.7,4.5,7.4,in %
16-Feb,77.5,13.4,13.5,8.6,4.3,7.6,in %
16-Mar,76.1,12.8,13.6,9.4,4.4,7.8,in %
16-Apr,80.4,13.4,14.1,9.8,4.5,8.1,in %
16-May,77.1,13.6,14.3,9.6,4.8,7.4,in %
16-Jun,78.4,13.8,14.6,10.1,4.8,8.6,in %
16-Jul,79,13.3,14.5,9.8,4.8,8.1,in %
16-Aug,78.9,13.7,14.9,11.2,4.8,9.1,in %
16-Sep,83,13.4,15.6,10.8,4.9,9,in %
16-Oct,82.6,13.6,15.9,10.8,5.1,8.9,in %
16-Nov,81.3,14.5,16.2,10.6,5.3,9.1,in %
16-Dec,80.5,14.2,16,10.4,5.3,8.6,in %
